縣市,採樣日期,鄉鎮,禽種,判定日期,亞型,撲殺日期,撲殺隻數
臺北市,109.01.10,萬華區,紅羽土雞,109.01.13,H5N5,109.01.14,15
臺北市,109.01.11,萬華區,紅羽土雞,109.01.13,H5N5,109.01.14,19
臺南市,109.01.15,柳營區,紅羽土雞,109.01.18,H5N2,109.01.20,"7,222"
臺北市,109.02.07,萬華區,紅羽土雞,109.02.09,"H5N2
H5N5",109.02.11,28
高雄市,109.02.10,湖內區,黑羽土雞,109.02.14,H5N2,109.02.14,314
高雄市,109.02.13,岡山區,黑羽土雞,109.02.17,H5N5,109.02.18,"1,009"
臺北市,109.04.24,萬華區,紅羽土雞,109.04.26,H5N5,109.04.28,43
高雄市,109.07.29,岡山區,紅羽土雞,109.08.02,H5N5,109.08.03,"2,267"
臺北市,109.08.23,萬華區,紅羽土雞,109.08.25,H5N5,109.08.23,4
新北市,109.09.12,泰山區,皇金雞,109.09.14,H5N5,109.09.12,1
新北市,109.11.13,泰山區,紅羽土雞,109.11.16,H5N5,109.11.17,40
臺北市,109.11.14,萬華區,紅羽土雞,109.11.16,H5N5,109.11.17,11
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
