dname1,dname2,date,value,unit
10013,鴨,100,604.000000000000,
10013,雞,113,822.000000000000,
10013,雞,112,833.000000000000,
10013,雞,111,826.000000000000,
10013,雞,110,849.000000000000,
10013,雞,109,840.000000000000,
10013,雞,108,835.000000000000,
10013,雞,107,836.000000000000,
10013,雞,106,808.000000000000,
10013,雞,105,838.000000000000,
10013,雞,104,807.000000000000,
10013,雞,103,785.000000000000,
10013,雞,102,799.000000000000,
10013,雞,101,799.000000000000,
10013,雞,100,807.000000000000,
10010,有色肉雞,113,354.000000000000,
10010,有色肉雞,112,340.000000000000,
10010,有色肉雞,111,347.000000000000,
10010,有色肉雞,110,355.000000000000,
10010,有色肉雞,109,337.000000000000,
10010,有色肉雞,108,327.000000000000,
10010,有色肉雞,107,337.000000000000,
10010,有色肉雞,106,307.000000000000,
10010,有色肉雞,105,302.000000000000,
10010,有色肉雞,104,283.000000000000,
10010,有色肉雞,103,263.000000000000,
10010,有色肉雞,102,260.000000000000,
10010,有色肉雞,101,277.000000000000,
10010,有色肉雞,100,307.000000000000,
10010,白肉雞,113,124.000000000000,
10010,白肉雞,112,116.000000000000,
10010,白肉雞,111,114.000000000000,
10010,白肉雞,110,112.000000000000,
10010,白肉雞,109,102.000000000000,
10010,白肉雞,108,100.000000000000,
10010,白肉雞,107,101.000000000000,
10010,白肉雞,106,91.000000000000,
10010,白肉雞,105,89.000000000000,
10010,白肉雞,104,90.000000000000,
10010,白肉雞,103,89.000000000000,
10010,白肉雞,102,79.000000000000,
10010,白肉雞,101,83.000000000000,
10010,白肉雞,100,93.000000000000,
10010,蛋雞,113,195.000000000000,
10010,蛋雞,112,195.000000000000,
10010,蛋雞,111,187.000000000000,
10010,蛋雞,110,188.000000000000,
10010,蛋雞,109,178.000000000000,
10010,蛋雞,108,176.000000000000,
10010,蛋雞,107,171.000000000000,
10010,蛋雞,106,161.000000000000,
10010,蛋雞,105,154.000000000000,
10010,蛋雞,104,153.000000000000,
10010,蛋雞,103,148.000000000000,
10010,蛋雞,102,144.000000000000,
10010,蛋雞,101,138.000000000000,
10010,蛋雞,100,136.000000000000,
10010,火雞,113,20.000000000000,
10010,火雞,112,20.000000000000,
10010,火雞,111,14.000000000000,
10010,火雞,110,24.000000000000,
10010,火雞,109,24.000000000000,
10010,火雞,108,21.000000000000,
10010,火雞,107,19.000000000000,
10010,火雞,106,17.000000000000,
10010,火雞,105,15.000000000000,
10010,火雞,104,16.000000000000,
10010,火雞,103,15.000000000000,
10010,火雞,102,14.000000000000,
10010,火雞,101,14.000000000000,
10010,火雞,100,11.000000000000,
